"","DATE","OPINION","PROS","CONS","company"
"1612","Customer Assistant lead (Former Employee) - Bradford, West Yorkshire - 4 December 2020",NA,"staff canteen with cheap lunches","Poorly Run, lack of appreciation","MORRISONS"
"1613","Customer Assistant (Current Employee) - Haverfordwest - 1 December 2020","Night staff have 1 hour & 30 mins unpaid break, we are not allowed out of the building on this break. Probably rightly so due to security reasons etc. But there's No form of entertainment in the staff","None","Management, staff.","MORRISONS"
"1614","Morrisons Sales Assistant (Former Employee) - Hunslet  - 1 December 2020",NA,"Staff Discount","management, pay","MORRISONS"
"1615","Customer Assistant  (Former Employee) - Solihull - 29 November 2020","Physical work, pay, good atmosphere with other members of staff!","Good pay and benefits.","long hours","MORRISONS"
"1616","Customer Assistant (Former Employee) - Coventry, West Midlands - 26 November 2020","Poorly Run, lack of appreciation","Good pay","One team mentality, but doesn't happen.","MORRISONS"
"1617","Customer Assistant (Former Employee) - Coventry, West Midlands - 25 November 2020","I have worked here twice. Refused a permanent contract after successful probation period.second time round Lied to, let off just before Christmas with no explanation. The rudeness of the managers/staff is so unprofessional. Only pro is good money for nights. If your face fits brilliant if not then you don’t matter Frozen food left out on shop floor all night. Don’t buy. The list goes on. Many lessons learnt. ","Nope","Long hours - particularly over weekends and late shifts.","MORRISONS"
"1618","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020",NA,"Staff discounts","Everything else","MORRISONS"
"1619","Checkout Assistant, checkout supervisor (Former Employee) - Portsmouth - 31 December 2020","Money","Pay and holiday entitlement is good","Lack of development, support and accountability","MORRISONS"
"1620","Training (Former Employee) - Spalding, Lincolnshire - 30 December 2020","Management, staff.","Discount","Changing shift patterns","MORRISONS"
"1621","Sales Assistant (Former Employee) - Bracknell - 27 December 2020","Really I'm very happy when I found a job at Morrisons supermarket because all my colleagues are very supportive and helpful. Even that they are very friendly and joyful when I started to work at Morrisons supermarket because I have got more experience with them. Thanks a lot. ","None","Na","MORRISONS"
"1622","Customer Assistant (Former Employee) - Aberystwyth - 27 December 2020",NA,"Discount card, Colleague benefits","Not enough training no communication","MORRISONS"
"1623","Warehouse Operative (Current Employee) - Stockton-on-Tees, Durham - 26 December 2020","overall good company to work for, they provide loads of training and allow for personal development. 10% staff discount was a nice bonus. The pay wasn't great. ","Good cheap cafe","Management are no help","MORRISONS"
"1624","Customer Assistant/Cashier (Current Employee) - St Albans - 25 December 2020",NA,"You are part of a team, you get thank you’s from the management team","Don't","MORRISONS"
"1625","Nights  (Current Employee) - Blackpool, Lancashire - 22 December 2020","staff canteen with cheap lunches","Physical work, pay, good atmosphere with other members of staff!","Management","MORRISONS"
"1626","Night Customer Assistant (Former Employee) - Southampton, Hampshire - 19 December 2020","management, pay","Money","Rubbish place to work","MORRISONS"
"1627","Professional Baker. (Former Employee) - Any  - 19 December 2020","It’s ok most of the time  but just long hours and the mangers are jobs worth","staff canteen with cheap lunches","Contacted hours could be more, also overtime come then gets cut, shift are given to you then taken away last minute","MORRISONS"
"1628","Planner (Former Employee) - UK  - 18 December 2020","But it’s ok it pays the bills tho so can’t complain just long days and too meant hours ","None","Poorly Run, lack of appreciation","MORRISONS"
"1629","Warehouse Operative (Current Employee) - Stockton-on-Tees, Durham - 18 December 2020",NA,"Staff Discount","Management, staff.","MORRISONS"
"1630","Night Manager (Former Employee) - Leyland - 18 December 2020","None","Good pay and benefits.","management, pay","MORRISONS"
"1631","Multi-skilled Engineer (Former Employee) - North Yorkshire - 12 December 2020","long hours","Good pay","long hours","MORRISONS"
"1632","Night crew assistant  (Former Employee) - Lichfield staffs - 12 December 2020","Worked 60 hours a week.  Should be 40.","Nope","One team mentality, but doesn't happen.","MORRISONS"
"1633","Customer Assistant lead (Former Employee) - Bradford, West Yorkshire - 4 December 2020","No appreciation.","Staff discounts","Long hours - particularly over weekends and late shifts.","MORRISONS"
"1634","Customer Assistant (Current Employee) - Haverfordwest - 1 December 2020","Big on respect in the workplace, that doesn't happen.","Pay and holiday entitlement is good","Everything else","MORRISONS"
"1635","Morrisons Sales Assistant (Former Employee) - Hunslet  - 1 December 2020","Certain people like to be in everyone's business.","Discount","Lack of development, support and accountability","MORRISONS"
"1636","Customer Assistant  (Former Employee) - Solihull - 29 November 2020","Team mentality not there.we ","None","Changing shift patterns","MORRISONS"
"1637","Customer Assistant (Former Employee) - Coventry, West Midlands - 26 November 2020",NA,"Discount card, Colleague benefits","Na","MORRISONS"
"1638","Customer Assistant (Former Employee) - Coventry, West Midlands - 25 November 2020","Staff Discount","Good cheap cafe","Not enough training no communication","MORRISONS"
"1639","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","One team mentality, but doesn't happen.","You are part of a team, you get thank you’s from the management team","Management are no help","MORRISONS"
"1640","Checkout Assistant, checkout supervisor (Former Employee) - Portsmouth - 31 December 2020","Multi-skilled engineer at a Morrisons vegetable packaging plant. Well paid, fast-paced and often unglamorous work. Could range from comparatively high-tech packaging machinery to being knee-deep in mud at the dirtiest end of goods-in. Good colleagues and some very good managers made it a good place to work.","Physical work, pay, good atmosphere with other members of staff!","Don't","MORRISONS"
"1641","Training (Former Employee) - Spalding, Lincolnshire - 30 December 2020",NA,"Money","Management","MORRISONS"
"1642","Sales Assistant (Former Employee) - Bracknell - 27 December 2020","Good pay and benefits.","staff canteen with cheap lunches","Rubbish place to work","MORRISONS"
"1643","Customer Assistant (Former Employee) - Aberystwyth - 27 December 2020","Long hours - particularly over weekends and late shifts.","None","Contacted hours could be more, also overtime come then gets cut, shift are given to you then taken away last minute","MORRISONS"
"1644","Warehouse Operative (Current Employee) - Stockton-on-Tees, Durham - 26 December 2020","Don’t bother you’ll be stressed to the max and no support mentally and physically.","Staff Discount","Poorly Run, lack of appreciation","MORRISONS"
"1645","Customer Assistant/Cashier (Current Employee) - St Albans - 25 December 2020","Managers should be sacked or go on a course on how to treat people. ","Good pay and benefits.","Management, staff.","MORRISONS"
"1646","Nights  (Current Employee) - Blackpool, Lancashire - 22 December 2020",NA,"Good pay","management, pay","MORRISONS"
"1647","Night Customer Assistant (Former Employee) - Southampton, Hampshire - 19 December 2020","Good pay","Nope","long hours","MORRISONS"
"1648","Professional Baker. (Former Employee) - Any  - 19 December 2020","Everything else","Staff discounts","One team mentality, but doesn't happen.","MORRISONS"
"1649","Planner (Former Employee) - UK  - 18 December 2020","Head office customer service has such a bad culture and lack of knowledge, experience and dealing with things by the leadership team. you was pretty much left to figure it out, normal advisors are more knowledgable than managers and have to guide them rather than the other way round. Managers have free rain as more higher bosses delegate tasks so they have a fall man so they hold no actual accountability in any situation. Very much a culture of fake results so operations is built on stats that are not realistic forcing good staff to try achieve unrealistic results unless they drop the quality they put Into their contact. Very much get the contact done anyway you can, even if the customer isn't totally satisfied as long as the Contact is closed and meets their crazy sla. Targeting behaviour once querying or you try to raise something managers don't like. Lack of knowledge of compliance, health n safety and disabilities.","Pay and holiday entitlement is good","Long hours - particularly over weekends and late shifts.","MORRISONS"
"1650","Warehouse Operative (Current Employee) - Stockton-on-Tees, Durham - 18 December 2020",NA,"Discount","Everything else","MORRISONS"
"1651","Night Manager (Former Employee) - Leyland - 18 December 2020","Just my opinion. Figured it out yourself if you want to work there. The normal advisors are what keep you going, the grafters, that little people. The leadership teams don't acknowledge these people but rely heavily on them as they would be stuck without them, yet still maintain a them and us atmosphere and like it. ","None","Lack of development, support and accountability","MORRISONS"
"1652","Multi-skilled Engineer (Former Employee) - North Yorkshire - 12 December 2020",NA,"Discount card, Colleague benefits","Changing shift patterns","MORRISONS"
"1653","Night crew assistant  (Former Employee) - Lichfield staffs - 12 December 2020","Nope","Good cheap cafe","Na","MORRISONS"
"1654","Customer Assistant lead (Former Employee) - Bradford, West Yorkshire - 4 December 2020","Lack of development, support and accountability","You are part of a team, you get thank you’s from the management team","Not enough training no communication","MORRISONS"
"1655","Customer Assistant (Current Employee) - Haverfordwest - 1 December 2020","Very busy store, not enough training to use all functions on tills before starting first shifts. Line managers and supervisors are approachable and helpful though. Best part of job is interaction with customers and colleagues. Worst part is shift patterns changing without much notice and needing to check the app for changes.","Physical work, pay, good atmosphere with other members of staff!","Management are no help","MORRISONS"
"1656","Morrisons Sales Assistant (Former Employee) - Hunslet  - 1 December 2020",NA,"Money","Don't","MORRISONS"
"1657","Customer Assistant  (Former Employee) - Solihull - 29 November 2020","Staff discounts","staff canteen with cheap lunches","Management","MORRISONS"
"1658","Customer Assistant (Former Employee) - Coventry, West Midlands - 26 November 2020","Changing shift patterns","None","Rubbish place to work","MORRISONS"
"1659","Customer Assistant (Former Employee) - Coventry, West Midlands - 25 November 2020","The place well management  really dont care your just a little  number in there eyes i was there 14 years and in the end i couldn't  do it as management  really dont care people  you work with are good and customers  are ok but overall  not a good place to work","Staff Discount","Contacted hours could be more, also overtime come then gets cut, shift are given to you then taken away last minute","MORRISONS"
"1660","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020",NA,"Good pay and benefits.","Poorly Run, lack of appreciation","MORRISONS"
"1661","Checkout Assistant, checkout supervisor (Former Employee) - Portsmouth - 31 December 2020","Pay and holiday entitlement is good","Good pay","Management, staff.","MORRISONS"
"1662","Training (Former Employee) - Spalding, Lincolnshire - 30 December 2020","Na","Nope","management, pay","MORRISONS"
"1663","Sales Assistant (Former Employee) - Bracknell - 27 December 2020","Former employee, solihull","Staff discounts","long hours","MORRISONS"
"1664","Customer Assistant (Former Employee) - Aberystwyth - 27 December 2020","No communication, little training and working  2-3 peoples jobs, been shouted at on shop floor by manager in front of staff and customers, no respect shown to employees on how they are spoken too, having to do jobs that should have been done the night before but because one person left on own to work four counters ie cleaning, serving, two reductions, then waste from your area and bakery as well they are not done, they say in interview we are a family here and work together not true shop floor staff working together but not management. You try to say you can't do these hours though email or speaking to manager but not listened to. Stress environment to work in. ","Pay and holiday entitlement is good","One team mentality, but doesn't happen.","MORRISONS"
"1665","Warehouse Operative (Current Employee) - Stockton-on-Tees, Durham - 26 December 2020",NA,"Discount","Long hours - particularly over weekends and late shifts.","MORRISONS"
"1666","Customer Assistant/Cashier (Current Employee) - St Albans - 25 December 2020","Not enough training no communication","None","Everything else","MORRISONS"
"1667","Nights  (Current Employee) - Blackpool, Lancashire - 22 December 2020","Had high expectations as the staff are always friendly but once you start working they throw you into the role with little training and expect you to know everything ","Discount card, Colleague benefits","Lack of development, support and accountability","MORRISONS"
"1668","Night Customer Assistant (Former Employee) - Southampton, Hampshire - 19 December 2020",NA,"Good cheap cafe","Changing shift patterns","MORRISONS"
"1669","Professional Baker. (Former Employee) - Any  - 19 December 2020","Discount","You are part of a team, you get thank you’s from the management team","Na","MORRISONS"
"1670","Planner (Former Employee) - UK  - 18 December 2020","Management are no help","Physical work, pay, good atmosphere with other members of staff!","Not enough training no communication","MORRISONS"
"1671","Warehouse Operative (Current Employee) - Stockton-on-Tees, Durham - 18 December 2020","Hard working for low pay. Expected to change shifts frequently to cover colleagues. Weekend working for no extra pay rate. Poor management from top down. Having to help other departments who are behind, leaving  no time to complete your own work.","Money","Management are no help","MORRISONS"
"1672","Night Manager (Former Employee) - Leyland - 18 December 2020",NA,"staff canteen with cheap lunches","Don't","MORRISONS"
"1673","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","Working for Morrisons has been a challenge especially with the ever changing pace of working in retail.  Due to constant restructuring it is not a secure or stable position","Too many to list","None","MORRISONS"
"1674","People assistant (Former Employee) - Welwyn Garden City - 25 November 2020",NA,"Money and bonus are ok","Embarrassing quality of service, pure greed.","MORRISONS"
"1675","Home Delivery Driver (Former Employee) - Ipswich - 24 November 2020","I loved my job as a Pa assistant. Had the most amazing manager and colleagues.  ","Nice work colleagues, subbed canteen food.","Irregular shifts, don't seemed planned.","MORRISONS"
"1676","Delivery Driver (Current Employee) - South East - 18 November 2020","I just got told my job has been for one person only and my contract came to a end. ","15% staff discount","As mentioned above","MORRISONS"
"1677","Customer Service Advisor (Former Employee) - York, North Yorkshire - 15 November 2020","Used the terminology as we need to save money we’re we can.   ","Store Discount (10%) and good colleagues","Shocking management and poor notice on rotas.","MORRISONS"
"1678","Customer Assistant (Former Employee) - Plymstock, Devon - 13 November 2020","Shocking shocking store manager ","Free Tea!","Management","MORRISONS"
"1679","Customer Assistant (Former Employee) - North Wales - 12 November 2020",NA,"there isnt any","two faced bullies everywhere!","MORRISONS"
"1680","Sales Assistant (Former Employee) - Laceby, Lincolnshire - 10 November 2020","Too many to list","friendly staff. Discount, clocking out to go home","4am till 4pm","MORRISONS"
"1681","Shop Assistant (Current Employee) - Rogerstone, Newport - 8 November 2020","None","Staff discount","Everything else","MORRISONS"
"1682","Customer Assistant/Cashier (Current Employee) - Newcastle upon Tyne, Tyne and Wear - 6 November 2020","Way too much work load on home delivery, you are given 6 minutes to do a 6th floor flat that takes about 15-20 minutes, or 7 minutes to make a 12 minute journey, that with being late out every shift guarantees you will be moaned at by every customer because you are late and if working evening you will be finishing well after midnight.","The people you work with","Short breaks only 15 minutes","MORRISONS"
"1683","Cashier/Sales Assistant (Former Employee) - Newquay - 30 October 2020",NA,"None","Disorganised, huge delays, customers end up taking out their frustration on you when you aren't able to help being late","MORRISONS"
"1684","Delivery Driver (Former Employee) - Benfleet, Essex - 30 October 2020","Money and bonus are ok","9.20 an hour","Don’t waste your life","MORRISONS"
"1685","Senior manager (Former Employee) - Paignton, Devon - 21 October 2020","Embarrassing quality of service, pure greed.","Free uniform","Short shifts, no advancement, nasty management.","MORRISONS"
"1686","Home delivery  (Current Employee) - Grimsby  - 17 October 2020","Having been made redundant I took the job on as a delivery driver. There's a load of on line training but very little training regarding the actual job. The vans are leased and continually have problems, freezer units not working, bulbs blowing, tyres etc. The vans have no reversing lights or cameras so at night it's a real issue. Shifts can be anything you work 4 days out 7 but can work 4 straight days and they are rarely the same days/hours. The late shift ends at 11.30pm. You rarely leave on time as sometimes when busy the groceries are still being picked, this means you feel reluctant to take the legal 15 mins break as you will be even later leaving and delivering to customers.","Staff discount","Quality. Treated like scum","MORRISONS"
"1687","Home Delivery Driver (Former Employee) - Banbury, Oxfordshire - 16 October 2020",NA,"Short hours","Management do anything to cut costs","MORRISONS"
"1688","Sales Assistant (Current Employee) - Renfrew, Renfrewshire - 15 October 2020","Nice work colleagues, subbed canteen food.","Allowed to go home","Bad management rude !!!","MORRISONS"
"1689","Sales assistant (Current Employee) - Bolton, Greater Manchester - 13 October 2020","Irregular shifts, don't seemed planned.","collegues, pay, discount","Poor management","MORRISONS"
"1690","Customer Assistant (Former Employee) - Norwich, Norfolk - 13 October 2020","Working here was quite the experience. I'm unsure if it's like this at all Morrisons but... a lot could be improved. Firstly, the initial application form has nowhere to disclose disabilities. The working hours are demanding, regardless of being part or full time. You may tell your manager you cannot work on a specific day and they'll put you on a shift for that day. Everything is fast-paced and you're given way too much responsibility, way too quickly and this can be overwhelming. Although managers seemed to want to understand your circumstances, overall the idea is that you should be dedicated to the company and you'll be made to feel like you're difficult if your actions show otherwise. ","The Canteen was nice I suppose","Poor Management, Hours all over the place, Poor training, Poor communication, Favouritism/Nepotism at its finest","MORRISONS"
"1691","Customer Assistant (Current Employee) - Lancashire - 30 September 2020",NA,"Cheap canteen for staff and staff discount","Bad Management and Bad on the job training.","MORRISONS"
"1692","Temporary Picker/Packer (Former Employee) - Cowgate Newcastle - 29 September 2020","All staff in my department were lovely, absolutely the kindest people I have met in my work life. But this doesn't compensate for the excess of negatives. If it's your very first 'retail' job, know your rights. You are entitled to 1 hour 30 minutes break at Morrisons after an 8-hour shift. Anything under 6 hours is a 15-minute break, but legally it should be 20 minutes. I read a review which stated multiple employment laws were breached on the first day and the person truly wasn't lying. It was chaotic, but again, this could have been my branch. On my first day, as I walked in, all the staff in my department (who couldn't see me) simultaneously stated how much they hated it there. It seems like managers aren't listening to staff and that's a big problem. unhappy staff will take their skills and services elsewhere. The pay should also be £10.75 an hour. The cost of living isn't decreasing","Too many to list","Poor management, Poor HR, Long hours, overworked, bullying culture, last minute rota's, disorganised, Poor staff Morale.","MORRISONS"
"1693","Checkouts Team Leader (Former Employee) - Wellingborough, Northamptonshire - 28 September 2020",NA,"Money and bonus are ok","None","MORRISONS"
"1694","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020","15% staff discount","Nice work colleagues, subbed canteen food.","Embarrassing quality of service, pure greed.","MORRISONS"
"1695","People assistant (Former Employee) - Welwyn Garden City - 25 November 2020","As mentioned above","15% staff discount","Irregular shifts, don't seemed planned.","MORRISONS"
"1696","Home Delivery Driver (Former Employee) - Ipswich - 24 November 2020","Rotas are not published until ~5 days beforehand, poor system to book holidays and holidays allocated by management if not booked by June of that year - not helpful when employed post June of that year.","Store Discount (10%) and good colleagues","As mentioned above","MORRISONS"
"1697","Delivery Driver (Current Employee) - South East - 18 November 2020",NA,"Free Tea!","Shocking management and poor notice on rotas.","MORRISONS"
"1698","Customer Service Advisor (Former Employee) - York, North Yorkshire - 15 November 2020","Work day: very stressful. Not enough time to work, coming from a hard-worker who is competent. Management shout problems, and offer little solutions. Advice largely ignored, even when incredibly relevant. ","there isnt any","Management","MORRISONS"
"1699","Customer Assistant (Former Employee) - Plymstock, Devon - 13 November 2020",NA,"friendly staff. Discount, clocking out to go home","two faced bullies everywhere!","MORRISONS"
"1700","Customer Assistant (Former Employee) - North Wales - 12 November 2020","Management relay problems to staff and blame them when it goes wrong. Inconsistent meetings and require 24/7 flexibility. ","Staff discount","4am till 4pm","MORRISONS"
"1701","Sales Assistant (Former Employee) - Laceby, Lincolnshire - 10 November 2020",NA,"The people you work with","Everything else","MORRISONS"
"1702","Shop Assistant (Current Employee) - Rogerstone, Newport - 8 November 2020","The actual staff/store colleagues are wonderful, but very few are happy - a job to get money, and not much more. Not an enjoyable work environment due to management.","None","Short breaks only 15 minutes","MORRISONS"
"1703","Customer Assistant/Cashier (Current Employee) - Newcastle upon Tyne, Tyne and Wear - 6 November 2020",NA,"9.20 an hour","Disorganised, huge delays, customers end up taking out their frustration on you when you aren't able to help being late","MORRISONS"
"1704","Cashier/Sales Assistant (Former Employee) - Newquay - 30 October 2020","Store Discount (10%) and good colleagues","Free uniform","Don’t waste your life","MORRISONS"
"1705","Delivery Driver (Former Employee) - Benfleet, Essex - 30 October 2020","Shocking management and poor notice on rotas.","Staff discount","Short shifts, no advancement, nasty management.","MORRISONS"
"1706","Senior manager (Former Employee) - Paignton, Devon - 21 October 2020","You are offered the world at interview, you give your availability - this information isn't passed to those making the timesheets. ","Short hours","Quality. Treated like scum","MORRISONS"
"1707","Home delivery  (Current Employee) - Grimsby  - 17 October 2020","Training is completed by a presentation and then on-screen training. Once these are completed you are let loose!","Allowed to go home","Management do anything to cut costs","MORRISONS"
"1708","Home Delivery Driver (Former Employee) - Banbury, Oxfordshire - 16 October 2020","Management are confrontational, rude and not supportive. Team Leaders generally are of the same ilk, however to be fair there are some very nice TLs too. There seems to be an ingrained toxicity from senior management down. Customers are laughed about once they have left the store. Truly is very poor.","collegues, pay, discount","Bad management rude !!!","MORRISONS"
"1709","Sales Assistant (Current Employee) - Renfrew, Renfrewshire - 15 October 2020","Morale is low, a lot of staff unhappy.","The Canteen was nice I suppose","Poor management","MORRISONS"
"1710","Sales assistant (Current Employee) - Bolton, Greater Manchester - 13 October 2020","If you want to be happy, feel supported and respected Morrisons isn't the place for you! ","Cheap canteen for staff and staff discount","Poor Management, Hours all over the place, Poor training, Poor communication, Favouritism/Nepotism at its finest","MORRISONS"
"1711","Customer Assistant (Former Employee) - Norwich, Norfolk - 13 October 2020",NA,"Too many to list","Bad Management and Bad on the job training.","MORRISONS"
"1712","Customer Assistant (Current Employee) - Lancashire - 30 September 2020","Free Tea!","Money and bonus are ok","Poor management, Poor HR, Long hours, overworked, bullying culture, last minute rota's, disorganised, Poor staff Morale.","MORRISONS"
"1713","Temporary Picker/Packer (Former Employee) - Cowgate Newcastle - 29 September 2020","Management","Nice work colleagues, subbed canteen food.","None","MORRISONS"
"1714","Checkouts Team Leader (Former Employee) - Wellingborough, Northamptonshire - 28 September 2020","where do I start if your face fits and you agree to everything you will be ok they pile the workload onto you even if its an impossible amount. they certainly don't take your welfare into account just a number alot of bullying name calling and backstabbing going on and although the managers know full well this is happening they choose to ignore it... overall a bad atmosphere stay well clear!!!!!!","15% staff discount","Embarrassing quality of service, pure greed.","MORRISONS"
"1715","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020",NA,"Store Discount (10%) and good colleagues","Irregular shifts, don't seemed planned.","MORRISONS"
"1716","People assistant (Former Employee) - Welwyn Garden City - 25 November 2020","there isnt any","Free Tea!","As mentioned above","MORRISONS"
"1717","Home Delivery Driver (Former Employee) - Ipswich - 24 November 2020","two faced bullies everywhere!","there isnt any","Shocking management and poor notice on rotas.","MORRISONS"
"1718","Delivery Driver (Current Employee) - South East - 18 November 2020","Loved the job at first my hours was great fit around my home life, then change departments since then gone down hill, people's manager no help what so ever, doesn't come on to the shop floor, you only ever see her in the office.  The staff are lovely always there to help, lack of staff on check outs and shop floor. ","friendly staff. Discount, clocking out to go home","Management","MORRISONS"
"1719","Customer Service Advisor (Former Employee) - York, North Yorkshire - 15 November 2020",NA,"Staff discount","two faced bullies everywhere!","MORRISONS"
"1720","Customer Assistant (Former Employee) - Plymstock, Devon - 13 November 2020","4am till 4pm","The people you work with","4am till 4pm","MORRISONS"
"1721","Customer Assistant (Former Employee) - North Wales - 12 November 2020","Been working here for 20 years plus, it has gradually got worse over the years. But now it’s worse than ever! There is a complete lack of communication, your not a work colleague, your just a replaceable number. Expected to do about 2-3 people’s work. There is no recognition when you’ve gone above and beyond, it’s just expected. Managers just walk past you without acknowledging you. Team leaders can be just as bad at times. No staff and can be extremely stressful. God help you if you ring in sick because your poorly, as you get the third degree. The amount of staff that have mental health issues is very high. If I can get another job I would be straight out, only work here if your absolutely desperate!","None","Everything else","MORRISONS"
"1722","Sales Assistant (Former Employee) - Laceby, Lincolnshire - 10 November 2020",NA,"9.20 an hour","Short breaks only 15 minutes","MORRISONS"
"1723","Shop Assistant (Current Employee) - Rogerstone, Newport - 8 November 2020","friendly staff. Discount, clocking out to go home","Free uniform","Disorganised, huge delays, customers end up taking out their frustration on you when you aren't able to help being late","MORRISONS"
"1724","Customer Assistant/Cashier (Current Employee) - Newcastle upon Tyne, Tyne and Wear - 6 November 2020","Everything else","Staff discount","Don’t waste your life","MORRISONS"
"1725","Cashier/Sales Assistant (Former Employee) - Newquay - 30 October 2020","I worked for Morrison’s for 10 years and saw a lot of changes through out my time there.","Short hours","Short shifts, no advancement, nasty management.","MORRISONS"
"1726","Delivery Driver (Former Employee) - Benfleet, Essex - 30 October 2020","I started in 2004 as a temp on replenishment on the shop floor and was kept on a 20 hour contract.I was also trained as a cashier and would regularly be called on to tills. Two years before I left the Company were drastically reducing staff off the shop floor, I asked to be moved on to checkouts as I enjoyed working on them.","Allowed to go home","Quality. Treated like scum","MORRISONS"
"1727","Senior manager (Former Employee) - Paignton, Devon - 21 October 2020","I didn’t want to work on any of the counters. The staff at Morrison’s were very nice and I enjoyed my time working there.","collegues, pay, discount","Management do anything to cut costs","MORRISONS"
"1728","Home delivery  (Current Employee) - Grimsby  - 17 October 2020",NA,"The Canteen was nice I suppose","Bad management rude !!!","MORRISONS"
"1729","Home Delivery Driver (Former Employee) - Banbury, Oxfordshire - 16 October 2020","Staff discount","Cheap canteen for staff and staff discount","Poor management","MORRISONS"
"1730","Sales Assistant (Current Employee) - Renfrew, Renfrewshire - 15 October 2020","Short breaks only 15 minutes","Too many to list","Poor Management, Hours all over the place, Poor training, Poor communication, Favouritism/Nepotism at its finest","MORRISONS"
"1731","Sales assistant (Current Employee) - Bolton, Greater Manchester - 13 October 2020","Affected by the pandemic, I started my job as a delivery driver for Morrisons a few months ago. I'd always worked for smaller companies but thought that working for a national supermarket chain would be very organised and supportive of their workforce - not here I'm afraid.","Money and bonus are ok","Bad Management and Bad on the job training.","MORRISONS"
"1732","Customer Assistant (Former Employee) - Norwich, Norfolk - 13 October 2020",NA,"Nice work colleagues, subbed canteen food.","Poor management, Poor HR, Long hours, overworked, bullying culture, last minute rota's, disorganised, Poor staff Morale.","MORRISONS"
"1733","Customer Assistant (Current Employee) - Lancashire - 30 September 2020","A typical day would have you starting at your delegated time, before spending half an hour hunting for missing crates, pestering management to sort things out for you, manually loading your vans (which are hire vans which are all faulty in some way, flat tyre/broken mirror/faulty engine that keeps going into limp home mode/low brake pressure).","15% staff discount","None","MORRISONS"
"1734","Temporary Picker/Packer (Former Employee) - Cowgate Newcastle - 29 September 2020",NA,"Store Discount (10%) and good colleagues","Embarrassing quality of service, pure greed.","MORRISONS"
"1735","Checkouts Team Leader (Former Employee) - Wellingborough, Northamptonshire - 28 September 2020","It's back-breaking work because they do not have the stacking slot system that the other major supermarket delivery vans have - and then delivering to customers by carrying every single crate to them manually because you are not provided a sack trolley (I have now injured my back twice because of this). ","Free Tea!","Irregular shifts, don't seemed planned.","MORRISONS"
"1736","Cashier/Admin Manager (Current Employee) - Edinburgh - 12 March 2020",NA,"there isnt any","As mentioned above","MORRISONS"
"1737","People assistant (Former Employee) - Welwyn Garden City - 25 November 2020","The vans are also bottom spec which means they also have no assists such as parking sensors or reversing cameras, which are necessary when trying to park down the narrow roads of Westcliff-on-Sea where finding a gap will be few and far between.","friendly staff. Discount, clocking out to go home","Shocking management and poor notice on rotas.","MORRISONS"
"1738","Home Delivery Driver (Former Employee) - Ipswich - 24 November 2020",NA,"Staff discount","Management","MORRISONS"
"1739","Delivery Driver (Current Employee) - South East - 18 November 2020","Although we are told that our own branded vans are on order, we still do not have an ETA on when they'll arrive. But you would have thought that a company as big as Morrisons would put more budget to more reliable vans and equipment to hold us out in the meantime - the current offerings are rubbish.","The people you work with","two faced bullies everywhere!","MORRISONS"
"1740","Customer Service Advisor (Former Employee) - York, North Yorkshire - 15 November 2020",NA,"None","4am till 4pm","MORRISONS"
"1741","Customer Assistant (Former Employee) - Plymstock, Devon - 13 November 2020","Hours have recently been cut for pickers which means the stress on delivery drivers is very high and we usually leave the depot","9.20 an hour","Everything else","MORRISONS"
"1742","Customer Assistant (Former Employee) - North Wales - 12 November 2020",NA,"Free uniform","Short breaks only 15 minutes","MORRISONS"
"1743","Sales Assistant (Former Employee) - Laceby, Lincolnshire - 10 November 2020","The people you work with","Staff discount","Disorganised, huge delays, customers end up taking out their frustration on you when you aren't able to help being late","MORRISONS"
"1744","Shop Assistant (Current Employee) - Rogerstone, Newport - 8 November 2020","Disorganised, huge delays, customers end up taking out their frustration on you when you aren't able to help being late","Short hours","Don’t waste your life","MORRISONS"
"1745","Customer Assistant/Cashier (Current Employee) - Newcastle upon Tyne, Tyne and Wear - 6 November 2020","Poor work life balance management only out for them selves and won’t support you unless it’s in their interest . Expectations are not thought through so expectations not met which produces unnecessary pressure. Staff budgets to tight which vacancies were not filled . Staff expected to do two persons jobs . Standards were compromised due to CEO building his platform to depart thus a large pay off .  ","Allowed to go home","Short shifts, no advancement, nasty management.","MORRISONS"
"1746","Cashier/Sales Assistant (Former Employee) - Newquay - 30 October 2020",NA,"collegues, pay, discount","Quality. Treated like scum","MORRISONS"
"1747","Delivery Driver (Former Employee) - Benfleet, Essex - 30 October 2020","None","The Canteen was nice I suppose","Management do anything to cut costs","MORRISONS"
"1748","Senior manager (Former Employee) - Paignton, Devon - 21 October 2020","Don’t waste your life","Cheap canteen for staff and staff discount","Bad management rude !!!","MORRISONS"
"1749","Home delivery  (Current Employee) - Grimsby  - 17 October 2020","Awful management that are very up themselves and talk to staff like they are a piece of dirty if you don't bend over backwards for them, they are also a bunch of cowards to much prefer to talk about staff behind there back then say they have a problem.","Too many to list","Poor management","MORRISONS"
